NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
35303,5853,9489,12829,2846,3848,13months-disease-replicate_1,CA1,CA1-Ex,,182
35304,5854,14941,12816,4482,3844,13months-disease-replicate_1,Micro,Micro1,173.0,173
35305,5855,2360,12821,708,3846,13months-disease-replicate_1,Oligo,Oligo1,,
35306,5856,6352,12818,1905,3845,13months-disease-replicate_1,Micro,Micro1,,185
35307,5857,8989,12816,2696,3844,13months-disease-replicate_1,CA1,CA1-Ex,77.0,138
35308,5858,11379,12824,3413,3847,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,132
35309,5859,18763,12819,5628,3845,13months-disease-replicate_1,SMC,S2,,
35310,5860,10602,12820,3180,3846,13months-disease-replicate_1,CA1,CA1-Ex,,150
35311,5861,3216,12839,964,3851,13months-disease-replicate_1,Oligo,Oligo2,,163
35312,5862,4756,12821,1426,3846,13months-disease-replicate_1,Oligo,Oligo1,154.0,150
35313,5863,2618,12839,785,3851,13months-disease-replicate_1,Oligo,Oligo1,,
35314,5864,12790,12835,3837,3850,13months-disease-replicate_1,Micro,Micro3,107.0,147
35315,5865,11887,12838,3566,3851,13months-disease-replicate_1,Micro,Micro2,,164
35316,5866,5209,12840,1562,3852,13months-disease-replicate_1,Oligo,Oligo1,211.0,152
35317,5867,17229,12838,5168,3851,13months-disease-replicate_1,Oligo,Oligo2,,159
35318,5868,3123,12845,936,3853,13months-disease-replicate_1,Oligo,Oligo3,,
35319,5869,11470,12851,3441,3855,13months-disease-replicate_1,Oligo,Oligo1,,154
35320,5870,5497,12836,1649,3850,13months-disease-replicate_1,Oligo,Oligo1,144.0,153
35321,5871,17853,12842,5355,3852,13months-disease-replicate_1,Oligo,Oligo1,,152
35322,5872,19871,12847,5961,3854,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
35323,5873,2708,12850,812,3855,13months-disease-replicate_1,Oligo,Oligo1,,
35324,5874,11008,12855,3302,3856,13months-disease-replicate_1,CA1,CA1-Ex,,170
35325,5875,10763,12845,3228,3853,13months-disease-replicate_1,CA1,CA1-Ex,,147
35326,5876,16272,12854,4881,3856,13months-disease-replicate_1,Oligo,Oligo1,,174
35327,5877,11150,12850,3345,3855,13months-disease-replicate_1,CA1,CA1-Ex,,166
35328,5878,202,12859,60,3857,13months-disease-replicate_1,Oligo,Oligo3,,
35329,5879,2790,12864,837,3859,13months-disease-replicate_1,Oligo,Oligo3,,
35330,5880,8580,12848,2574,3854,13months-disease-replicate_1,CA1,CA1-Ex,53.0,150
35331,5881,10514,12867,3154,3860,13months-disease-replicate_1,CA1,CA1-Ex,,109
35333,5882,9884,12851,2965,3855,13months-disease-replicate_1,CA1,CA1-Ex,,154
35334,5883,10287,12864,3086,3859,13months-disease-replicate_1,CA1,CA1-Ex,,151
35335,5884,9742,12871,2922,3861,13months-disease-replicate_1,CA1,CA1-Ex,,132
35336,5885,8352,12859,2505,3857,13months-disease-replicate_1,Endo,Endo1,119.0,179
35337,5886,18718,12876,5615,3862,13months-disease-replicate_1,Endo,Endo1,,
35338,5887,131,12888,39,3866,13months-disease-replicate_1,Oligo,Oligo1,,
35339,5888,20730,12890,6219,3867,13months-disease-replicate_1,Oligo,Oligo1,,
